,Date,Open,High,Low,Close,Adj Close,Volume
6072,2005-01-03,4.627143,4.650714,4.4714279999999995,4.520714,3.027354,172998000.0
6073,2005-01-04,4.5564279999999995,4.676429,4.497857,4.567143,3.058446,274202600.0
6074,2005-01-05,4.604286,4.660714,4.575,4.607143,3.085232,170108400.0
6075,2005-01-06,4.619286,4.6364279999999995,4.523571,4.610714,3.0876240000000004,176388800.0
6076,2005-01-07,4.642857,4.973571,4.625,4.946429,3.312439,556862600.0
6077,2005-01-10,4.987857,5.05,4.848571,4.925714,3.298568,431327400.0
6078,2005-01-11,4.875,4.939286,4.581429,4.611429,3.088102,652906800.0
6079,2005-01-12,4.675,4.707143,4.521429,4.675714,3.131152,479925600.0
6080,2005-01-13,5.265,5.315714,4.980714,4.985714,3.3387480000000003,791179200.0
6081,2005-01-14,5.017857,5.122857,4.942143,5.014286,3.357881,442685600.0
6082,2005-01-18,4.989286,5.05,4.839286,5.046429,3.379406,251615000.0
6083,2005-01-19,5.035,5.104286,4.982143,4.991428,3.342574,187973800.0
6084,2005-01-20,4.975,5.090714,4.962143,5.032857,3.370318,228730600.0
6085,2005-01-21,5.093572,5.114286,5.0,5.035,3.371752,227833200.0
6086,2005-01-24,5.07,5.127143,5.039286,5.054286,3.384666,210407400.0
6087,2005-01-25,5.097857,5.202857,5.067143,5.146429,3.446372,242307800.0
6088,2005-01-26,5.19,5.196429,5.087143,5.160714,3.4559379999999997,184874200.0
6089,2005-01-27,5.154286,5.208571,5.110714,5.188571,3.474593,124056800.0
6090,2005-01-28,5.187143,5.284286,5.174286,5.284286,3.5386889999999998,200403000.0
6091,2005-01-31,5.327143,5.563571,5.322143,5.492857,3.6783620000000004,420274400.0
6092,2005-02-01,5.503572,5.555,5.47,5.537857,3.7084980000000005,169598800.0
6093,2005-02-02,5.567857,5.707857,5.549286,5.687857,3.8089470000000003,255015600.0
6094,2005-02-03,5.65,5.673572,5.523571,5.557857,3.72189,182912800.0
6095,2005-02-04,5.562143,5.637857,5.537857,5.631429,3.7711589999999995,140889000.0
6096,2005-02-07,5.637857,5.667857,5.535714,5.638571,3.7759410000000004,131114200.0
6097,2005-02-08,5.647857,5.812857,5.627857,5.7785720000000005,3.8696949999999997,222504800.0
6098,2005-02-09,5.788571,5.856429,5.578571,5.624286,3.766375,297864000.0
6099,2005-02-10,5.622857,5.662857,5.475714,5.597143,3.7481980000000004,273254800.0
6100,2005-02-11,5.704286,5.84,5.638571,5.800714,3.884522,300263600.0
6101,2005-02-14,5.909286,6.0564279999999995,5.860714,6.045,4.048112000000001,317865800.0
6102,2005-02-15,6.19,6.362857,6.142857,6.315,4.22892,578054400.0
6103,2005-02-16,6.296429,6.442857,6.239286,6.437857,4.311194,409810800.0
6104,2005-02-17,6.475,6.491428,6.246428,6.272143,4.200221,379618400.0
6105,2005-02-18,6.267143,6.275714,6.160714,6.200714,4.152387999999999,290813600.0
6106,2005-02-22,6.164286,6.307143,6.092143,6.092143,4.079681,304823400.0
6107,2005-02-23,6.194286,6.317857,6.110714,6.302143,4.22031,336295400.0
6108,2005-02-24,6.32,6.3792860000000005,6.266427999999999,6.352143,4.253794,379757000.0
6109,2005-02-25,6.401429,6.422143,6.299286,6.356429,4.256664,228877600.0
6110,2005-02-28,6.382857,6.448571,6.28,6.408571,4.291582,162902600.0
6111,2005-03-01,6.427143,6.444286,6.308571,6.357143,4.257142,117047000.0
6112,2005-03-02,6.321429,6.412857,6.297143,6.302857,4.220788,114540300.0
6113,2005-03-03,6.338572,6.344285,5.888571,5.97,3.9978870000000004,352913400.0
6114,2005-03-04,6.108572000000001,6.144286,5.978571,6.115714,4.095466,189154700.0
6115,2005-03-07,6.114286,6.178571,6.05,6.107143,4.089726000000001,112658000.0
6116,2005-03-08,5.985714,6.022857,5.728571,5.79,3.8773480000000005,255362800.0
6117,2005-03-09,5.662857,5.7542860000000005,5.547143,5.621428,3.7644620000000004,330616300.0
6118,2005-03-10,5.647143,5.751429,5.585714,5.69,3.810382,194277300.0
6119,2005-03-11,5.744286,5.798572,5.685714,5.752857,3.852475,158207700.0
6120,2005-03-14,5.788571,5.827143,5.645714,5.76,3.8572589999999995,151346300.0
6121,2005-03-15,5.805714,5.877143,5.75,5.851429,3.918484,127152200.0
6122,2005-03-16,5.887143,6.0442860000000005,5.825714,5.882857,3.9395309999999997,174453300.0
6123,2005-03-17,5.932857,6.125714,5.902857,6.035714,4.041893,200480000.0
6124,2005-03-18,6.19,6.2057139999999995,6.071429,6.137143,4.109818,235037600.0
6125,2005-03-21,6.184286,6.281428,6.122857,6.242857,4.180609,135282000.0
6126,2005-03-22,6.244286,6.28,6.097143,6.118571,4.09738,137853800.0
6127,2005-03-23,6.064286,6.2,6.002857,6.078571,4.070593,152455800.0
6128,2005-03-24,6.13,6.142857,6.071429,6.071429,4.065811,88176200.0
6129,2005-03-28,6.107143,6.137143,6.067143,6.075714,4.068679,68852700.0
6130,2005-03-29,6.08,6.118571,5.928571,5.964286,3.9940599999999997,115339000.0
6131,2005-03-30,6.01,6.114286,5.974286,6.114286,4.09451,98739900.0
6132,2005-03-31,6.064286,6.074286,5.941429,5.952857,3.986407,159033700.0
6133,2005-04-01,6.012857,6.025714,5.795714,5.841429,3.9117879999999996,160321000.0
6134,2005-04-04,5.855714,5.901429,5.737143,5.87,3.930921,145003600.0
6135,2005-04-05,5.888571,6.034286,5.87,5.984286,4.007453,139059900.0
6136,2005-04-06,6.057143,6.115714,6.021429,6.047143,4.0495470000000005,103706400.0
6137,2005-04-07,6.047143,6.25,6.035714,6.222857,4.167216000000001,126746900.0
6138,2005-04-08,6.242857,6.35,6.22,6.248571,4.184437,162487500.0
6139,2005-04-11,6.307143,6.321429,5.987143,5.9885720000000005,4.010324,205415700.0
6140,2005-04-12,6.07,6.17,6.001429,6.094285,4.081118,245265300.0
6141,2005-04-13,6.135714,6.141427999999999,5.77,5.862857,3.926137,342986700.0
6142,2005-04-14,5.5442860000000005,5.651429,5.262857,5.322857,3.56452,688298100.0
6143,2005-04-15,5.231429,5.321429,5.04,5.05,3.3817980000000003,432021800.0
6144,2005-04-18,5.0,5.185714,4.857143,5.088572,3.4076269999999997,331794400.0
6145,2005-04-19,5.228571,5.348571,5.124286,5.298572,3.548257,270410700.0
6146,2005-04-20,5.38,5.391427999999999,5.062857,5.072857,3.397104,236282900.0
6147,2005-04-21,5.2,5.315714,5.128572,5.311429,3.5568660000000003,189898100.0
6148,2005-04-22,5.262857,5.285714,4.985714,5.071429,3.396148,209782300.0
6149,2005-04-25,5.212857,5.288571,5.158571,5.282857,3.5377330000000002,186615100.0
6150,2005-04-26,5.2542860000000005,5.358572000000001,5.16,5.17,3.462157,202626900.0
6151,2005-04-27,5.127143,5.194286,5.072857,5.135714,3.439197,153472200.0
6152,2005-04-28,5.184286,5.191429,5.034286,5.077143,3.399974,143776500.0
6153,2005-04-29,5.164286,5.175714,5.031428,5.151429,3.4497199999999997,167907600.0
6154,2005-05-02,5.172857,5.235714,5.145714,5.204286,3.485117,116480000.0
6155,2005-05-03,5.2,5.248571,5.147143,5.172857,3.4640690000000003,124184900.0
6156,2005-05-04,5.158571,5.314286,5.157143,5.307143,3.5539949999999996,112044100.0
6157,2005-05-05,5.321429,5.324286,5.21,5.24,3.509033,96841500.0
6158,2005-05-06,5.27,5.332857,5.255714,5.32,3.5626050000000005,81561900.0
6159,2005-05-09,5.325714,5.35,5.25,5.281428,3.536777,88923800.0
6160,2005-05-10,5.25,5.321429,5.19,5.202857,3.4841589999999996,110065900.0
6161,2005-05-11,5.0285720000000005,5.095714,4.73,5.087143,3.406671,510495300.0
6162,2005-05-12,5.06,5.084286,4.857143,4.875714,3.265084,242560500.0
6163,2005-05-13,4.885714,5.032857,4.867143,4.967143,3.32631,175678300.0
6164,2005-05-16,4.937143,5.1,4.932857,5.078571,3.400929,118573700.0
6165,2005-05-17,5.02,5.065714,4.934286,5.051429,3.3827540000000003,147086100.0
6166,2005-05-18,5.064286,5.365714,4.998571,5.12,3.4286730000000003,159180700.0
6167,2005-05-19,5.111429,5.382857,5.111429,5.364286,3.5922620000000003,198290400.0
6168,2005-05-20,5.321429,5.378572,5.312857,5.364286,3.5922620000000003,113162700.0
6169,2005-05-23,5.407143,5.7,5.407143,5.68,3.8036839999999996,260643600.0
6170,2005-05-24,5.635714,5.712857,5.575714,5.671429,3.797945,148365000.0
6171,2005-05-25,5.642857,5.707143,5.617143,5.682857,3.805599,99001700.0
6172,2005-05-26,5.7057139999999995,5.848571,5.7057139999999995,5.82,3.8974379999999997,131380200.0
6173,2005-05-27,5.805714,5.827143,5.715714,5.7942860000000005,3.880218,79002000.0
6174,2005-05-31,5.808571,5.82,5.654286,5.68,3.8036839999999996,101051300.0
6175,2005-06-01,5.698571,5.822857,5.694286,5.757143,3.855344,113453200.0
6176,2005-06-02,5.7214279999999995,5.76,5.657143,5.72,3.8304709999999997,93493400.0
6177,2005-06-03,5.451428,5.5114279999999995,5.395714,5.462857,3.658272,239217300.0
6178,2005-06-06,5.475714,5.518571,5.365714,5.417143,3.6276589999999995,202991600.0
6179,2005-06-07,5.371428,5.39,5.207143,5.22,3.495639,186316200.0
6180,2005-06-08,5.232857,5.321429,5.224286,5.274286,3.531993,101001600.0
6181,2005-06-09,5.285714,5.42,5.26,5.378572,3.601829,97563900.0
6182,2005-06-10,5.342857,5.342857,5.074286,5.115714,3.4258029999999997,169733200.0
6183,2005-06-13,5.127143,5.23,5.117143,5.128572,3.4344129999999997,108943100.0
6184,2005-06-14,5.131429,5.164286,5.107143,5.142857,3.4439800000000003,86961700.0
6185,2005-06-15,5.267143,5.328571,5.185714,5.304286,3.552083,140835800.0
6186,2005-06-16,5.312857,5.44,5.26,5.425714,3.633399,136918600.0
6187,2005-06-17,5.4957139999999995,5.505714,5.404286,5.472857,3.664969,149031400.0
6188,2005-06-20,5.407143,5.441429,5.35,5.372857,3.5980019999999997,80929100.0
6189,2005-06-21,5.388571,5.4557139999999995,5.34,5.408571,3.621919,92631700.0
6190,2005-06-22,5.465714,5.514286,5.448571,5.507143,3.687929,106231300.0
6191,2005-06-23,5.547143,5.682857,5.521429,5.555714,3.7204550000000003,168563500.0
6192,2005-06-24,5.584286,5.588572,5.382857,5.394286,3.6123529999999997,102677400.0
6193,2005-06-27,5.262857,5.442857,5.24,5.3,3.5492120000000003,150042900.0
6194,2005-06-28,5.355714,5.37,5.31,5.33,3.5693029999999997,87574900.0
6195,2005-06-29,5.3185720000000005,5.327143,5.16,5.195714,3.4793769999999995,112089600.0
6196,2005-06-30,5.23,5.308571,5.187143,5.258572,3.52147,104597500.0
6197,2005-07-01,5.2614279999999995,5.281428,5.184286,5.214286,3.4918120000000004,62500200.0
6198,2005-07-05,5.2214279999999995,5.45,5.214286,5.425714,3.633399,113567300.0
6199,2005-07-06,5.387143,5.451428,5.314286,5.341429,3.576957,98656600.0
6200,2005-07-07,5.258572,5.394286,5.257143,5.375714,3.599915,95930800.0
6201,2005-07-08,5.41,5.468572,5.352857,5.464286,3.6592279999999997,72683800.0
6202,2005-07-11,5.481429,5.521429,5.397143,5.442857,3.644878,97197100.0
